               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087534,             0.02396,                   0,             0.75941,                0.69,             0.79881,             0.24532,            0.054072,            0.011376,                   0,           0.0033081,           0.0033081,            0.070227
                   1,            0.058465,            0.016522,                   0,              0.9876,             0.99519,             0.99012,              0.4336,            0.046267,           0.0082552,                   0,           0.0065099,           0.0065099,            0.040096
                   2,            0.051703,            0.013532,                   0,             0.83387,              0.8625,             0.82882,             0.24518,            0.052381,           0.0071319,                   0,           0.0095797,           0.0095797,           0.0098323
                   3,            0.044913,            0.011887,                   0,                   1,             0.99972,               0.995,             0.46571,            0.037016,           0.0066988,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.038752,            0.011135,                   0,             0.99994,                   1,               0.995,             0.46053,            0.037886,           0.0065171,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.035098,            0.010605,                   0,              0.9993,                   1,               0.995,             0.46048,            0.035937,           0.0062239,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.034968,             0.01066,                   0,              0.9999,                   1,               0.995,               0.499,            0.033738,           0.0062133,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.033228,            0.010301,                   0,             0.99207,              0.9925,             0.98765,             0.40756,            0.039102,           0.0063616,                   0,            0.008812,            0.008812,            0.008812
                   8,             0.03189,            0.010028,                   0,             0.99978,                   1,               0.995,             0.46636,            0.035916,           0.0063501,                   0,            0.008614,            0.008614,            0.008614
                   9,             0.03241,            0.010209,                   0,             0.99985,                   1,               0.995,             0.46963,            0.035518,           0.0062388,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.031307,            0.010083,                   0,             0.99982,                   1,               0.995,             0.48064,             0.03564,           0.0060995,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.031552,           0.0099084,                   0,             0.99985,                   1,               0.995,             0.44908,            0.037699,           0.0061914,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.031039,            0.010228,                   0,             0.99982,                   1,               0.995,             0.48798,            0.034665,           0.0061821,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.030256,           0.0098371,                   0,             0.99731,              0.9975,             0.99452,             0.50517,            0.032794,            0.006048,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.029929,           0.0099611,                   0,             0.99981,                   1,               0.995,             0.51061,            0.032427,           0.0060298,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.030279,           0.0098183,                   0,             0.99979,                   1,               0.995,             0.50895,            0.032287,           0.0059591,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.029487,           0.0098925,                   0,             0.99973,                   1,               0.995,             0.49136,            0.034597,           0.0060312,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.029346,           0.0096455,                   0,             0.99984,                   1,               0.995,              0.4675,            0.036663,           0.0061366,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.029128,           0.0097658,                   0,             0.99977,                   1,               0.995,             0.47116,            0.035055,           0.0061272,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.028899,           0.0096531,                   0,             0.99736,              0.9975,             0.99465,             0.50715,            0.033059,           0.0060321,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.028692,           0.0096359,                   0,             0.99983,                   1,               0.995,             0.48519,            0.034694,           0.0061286,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.028926,           0.0095567,                   0,             0.99745,              0.9975,             0.99385,              0.5134,            0.033354,           0.0060547,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.028478,           0.0096002,                   0,             0.99979,                   1,               0.995,             0.49094,            0.033879,           0.0060575,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.028166,           0.0095594,                   0,             0.99985,                   1,               0.995,             0.50105,            0.033602,           0.0060899,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.028003,           0.0094925,                   0,             0.99738,              0.9975,             0.99467,             0.47926,            0.035018,           0.0061453,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.027598,           0.0096582,                   0,              0.9998,                   1,               0.995,             0.50663,            0.033576,           0.0060838,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.027308,           0.0093736,                   0,             0.99979,                   1,               0.995,             0.50561,            0.034299,           0.0060528,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.027335,           0.0095775,                   0,             0.99485,               0.995,             0.99135,             0.45158,            0.037392,           0.0062562,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.027273,           0.0095897,                   0,             0.99983,                   1,               0.995,             0.50471,            0.032868,           0.0060445,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.026734,           0.0092689,                   0,             0.99736,              0.9975,             0.99377,             0.48667,            0.034841,           0.0061691,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.026615,           0.0092216,                   0,             0.99482,               0.995,             0.99333,              0.4823,            0.034837,           0.0062517,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.026527,           0.0095585,                   0,             0.99733,              0.9975,             0.99352,             0.50848,             0.03354,           0.0060716,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.026173,           0.0094748,                   0,             0.99733,              0.9975,             0.99395,             0.50616,            0.033371,           0.0060398,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.025744,           0.0093142,                   0,             0.99987,                   1,               0.995,             0.50018,            0.034695,           0.0061941,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.025876,           0.0093146,                   0,             0.99985,                   1,               0.995,             0.51111,            0.033868,           0.0060603,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.025648,           0.0091951,                   0,             0.99486,               0.995,             0.99175,             0.50688,            0.033694,           0.0061164,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.025552,           0.0090615,                   0,             0.99737,              0.9975,             0.99253,             0.49276,            0.034545,           0.0061806,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.025077,            0.009035,                   0,             0.99735,              0.9975,              0.9937,             0.51446,             0.03325,           0.0061124,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.025032,           0.0090448,                   0,             0.99485,               0.995,             0.99015,             0.50426,            0.033462,           0.0061566,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.024974,           0.0090745,                   0,             0.99485,               0.995,             0.99298,             0.50547,            0.034271,           0.0062246,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.024776,           0.0091004,                   0,             0.99735,              0.9975,             0.99325,             0.50343,            0.034295,           0.0061818,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.024565,           0.0088264,                   0,             0.99486,               0.995,             0.99015,             0.50042,            0.033887,           0.0061572,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.024231,           0.0088953,                   0,             0.99986,                   1,               0.995,             0.49933,            0.034645,            0.006216,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.024317,           0.0087741,                   0,             0.99986,                   1,               0.995,             0.50329,             0.03414,           0.0061956,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.023902,           0.0086348,                   0,             0.98987,                0.99,             0.98131,             0.48503,            0.035455,           0.0063268,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.023898,           0.0087834,                   0,             0.99737,              0.9975,              0.9933,             0.49874,            0.034302,           0.0062504,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.023546,           0.0087348,                   0,             0.99486,               0.995,             0.99197,             0.49638,            0.035419,           0.0063238,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.023382,           0.0087842,                   0,             0.99486,               0.995,             0.99308,             0.50287,            0.034066,           0.0062587,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.023338,           0.0089318,                   0,             0.99485,               0.995,             0.99015,             0.49742,            0.034355,           0.0062956,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.023354,           0.0085724,                   0,             0.99486,               0.995,             0.99016,             0.49527,            0.034699,           0.0062898,                   0,            0.000496,            0.000496,            0.000496
